input,output,original_input,original_output,category_name,operations,spaced
U P,a r r i b a,UP,arriba,translate_eng_sp_lower,translate_eng_sp+lowercase,True
D O W N,a b a j o,DOWN,abajo,translate_eng_sp_lower,translate_eng_sp+lowercase,True
I N S I D E,d e n t r o,INSIDE,dentro,translate_eng_sp_lower,translate_eng_sp+lowercase,True
O U T S I D E,f u e r a,OUTSIDE,fuera,translate_eng_sp_lower,translate_eng_sp+lowercase,True
F R O N T,f r e n t e,FRONT,frente,translate_eng_sp_lower,translate_eng_sp+lowercase,True
B A C K,a t r á s,BACK,atrás,translate_eng_sp_lower,translate_eng_sp+lowercase,True
N E A R,c e r c a,NEAR,cerca,translate_eng_sp_lower,translate_eng_sp+lowercase,True
F A R,l e j o s,FAR,lejos,translate_eng_sp_lower,translate_eng_sp+lowercase,True
F I R S T,p r i m e r o,FIRST,primero,translate_eng_sp_lower,translate_eng_sp+lowercase,True
L A S T,ú l t i m o,LAST,último,translate_eng_sp_lower,translate_eng_sp+lowercase,True
O P E N,a b i e r t o,OPEN,abierto,translate_eng_sp_lower,translate_eng_sp+lowercase,True
C L O S E D,c e r r a d o,CLOSED,cerrado,translate_eng_sp_lower,translate_eng_sp+lowercase,True
O N E,u n o,ONE,uno,translate_eng_sp_lower,translate_eng_sp+lowercase,True
T W O,d o s,TWO,dos,translate_eng_sp_lower,translate_eng_sp+lowercase,True
T H R E E,t r e s,THREE,tres,translate_eng_sp_lower,translate_eng_sp+lowercase,True
F O U R,c u a t r o,FOUR,cuatro,translate_eng_sp_lower,translate_eng_sp+lowercase,True
F I V E,c i n c o,FIVE,cinco,translate_eng_sp_lower,translate_eng_sp+lowercase,True
S I X,s e i s,SIX,seis,translate_eng_sp_lower,translate_eng_sp+lowercase,True
S E V E N,s i e t e,SEVEN,siete,translate_eng_sp_lower,translate_eng_sp+lowercase,True
E I G H T,o c h o,EIGHT,ocho,translate_eng_sp_lower,translate_eng_sp+lowercase,True
N I N E,n u e v e,NINE,nueve,translate_eng_sp_lower,translate_eng_sp+lowercase,True
T E N,d i e z,TEN,diez,translate_eng_sp_lower,translate_eng_sp+lowercase,True
H U N D R E D,c i e n,HUNDRED,cien,translate_eng_sp_lower,translate_eng_sp+lowercase,True
T H O U S A N D,m i l,THOUSAND,mil,translate_eng_sp_lower,translate_eng_sp+lowercase,True
B R O T H E R,h e r m a n o,BROTHER,hermano,translate_eng_sp_lower,translate_eng_sp+lowercase,True
S I S T E R,h e r m a n a,SISTER,hermana,translate_eng_sp_lower,translate_eng_sp+lowercase,True
F A T H E R,p a d r e,FATHER,padre,translate_eng_sp_lower,translate_eng_sp+lowercase,True
M O T H E R,m a d r e,MOTHER,madre,translate_eng_sp_lower,translate_eng_sp+lowercase,True
S O N,h i j o,SON,hijo,translate_eng_sp_lower,translate_eng_sp+lowercase,True
D A U G H T E R,h i j a,DAUGHTER,hija,translate_eng_sp_lower,translate_eng_sp+lowercase,True
H U S B A N D,e s p o s o,HUSBAND,esposo,translate_eng_sp_lower,translate_eng_sp+lowercase,True
W I F E,e s p o s a,WIFE,esposa,translate_eng_sp_lower,translate_eng_sp+lowercase,True
G R A N D F A T H E R,a b u e l o,GRANDFATHER,abuelo,translate_eng_sp_lower,translate_eng_sp+lowercase,True
G R A N D M O T H E R,a b u e l a,GRANDMOTHER,abuela,translate_eng_sp_lower,translate_eng_sp+lowercase,True
U N C L E,t í o,UNCLE,tío,translate_eng_sp_lower,translate_eng_sp+lowercase,True
A U N T,t í a,AUNT,tía,translate_eng_sp_lower,translate_eng_sp+lowercase,True
C O U S I N,p r i m o,COUSIN,primo,translate_eng_sp_lower,translate_eng_sp+lowercase,True
K I N G,r e y,KING,rey,translate_eng_sp_lower,translate_eng_sp+lowercase,True
Q U E E N,r e i n a,QUEEN,reina,translate_eng_sp_lower,translate_eng_sp+lowercase,True
P R I N C E,p r í n c i p e,PRINCE,príncipe,translate_eng_sp_lower,translate_eng_sp+lowercase,True
P R I N C E S S,p r i n c e s a,PRINCESS,princesa,translate_eng_sp_lower,translate_eng_sp+lowercase,True
M A N,h o m b r e,MAN,hombre,translate_eng_sp_lower,translate_eng_sp+lowercase,True
W O M A N,m u j e r,WOMAN,mujer,translate_eng_sp_lower,translate_eng_sp+lowercase,True
G I R L,n i ñ a,GIRL,niña,translate_eng_sp_lower,translate_eng_sp+lowercase,True
B A B Y,b e b é,BABY,bebé,translate_eng_sp_lower,translate_eng_sp+lowercase,True
D O C T O R,m é d i c o,DOCTOR,médico,translate_eng_sp_lower,translate_eng_sp+lowercase,True
N U R S E,e n f e r m e r a,NURSE,enfermera,translate_eng_sp_lower,translate_eng_sp+lowercase,True
L A W Y E R,a b o g a d o,LAWYER,abogado,translate_eng_sp_lower,translate_eng_sp+lowercase,True
P O L I C E,p o l i c í a,POLICE,policía,translate_eng_sp_lower,translate_eng_sp+lowercase,True
S O L D I E R,s o l d a d o,SOLDIER,soldado,translate_eng_sp_lower,translate_eng_sp+lowercase,True
F A R M E R,g r a n j e r o,FARMER,granjero,translate_eng_sp_lower,translate_eng_sp+lowercase,True
W O R K E R,t r a b a j a d o r,WORKER,trabajador,translate_eng_sp_lower,translate_eng_sp+lowercase,True
A R T I S T,a r t i s t a,ARTIST,artista,translate_eng_sp_lower,translate_eng_sp+lowercase,True
M U S I C I A N,m ú s i c o,MUSICIAN,músico,translate_eng_sp_lower,translate_eng_sp+lowercase,True
S I N G E R,c a n t a n t e,SINGER,cantante,translate_eng_sp_lower,translate_eng_sp+lowercase,True
h e l l o,a l o h,hello,aloh,translate_eng_sp_reverse,translate_eng_sp+reverse,True
g o o d b y e,s ó i d a,goodbye,sóida,translate_eng_sp_reverse,translate_eng_sp+reverse,True
t h a n k   y o u,s a i c a r g,thank you,saicarg,translate_eng_sp_reverse,translate_eng_sp+reverse,True
p l e a s e,r o v a f   r o p,please,rovaf rop,translate_eng_sp_reverse,translate_eng_sp+reverse,True
y e s,í s,yes,ís,translate_eng_sp_reverse,translate_eng_sp+reverse,True
w a t e r,a u g a,water,auga,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h o u s e,a s a c,house,asac,translate_eng_sp_reverse,translate_eng_sp+reverse,True
c a t,o t a g,cat,otag,translate_eng_sp_reverse,translate_eng_sp+reverse,True
d o g,o r r e p,dog,orrep,translate_eng_sp_reverse,translate_eng_sp+reverse,True
g o o d   m o r n i n g,s a í d   s o n e u b,good morning,saíd soneub,translate_eng_sp_reverse,translate_eng_sp+reverse,True
g o o d   e v e n i n g,s e d r a t   s a n e u b,good evening,sedrat saneub,translate_eng_sp_reverse,translate_eng_sp+reverse,True
g o o d   n i g h t,s e h c o n   s a n e u b,good night,sehcon saneub,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h o w   a r e   y o u,s á t s e   o m ó c,how are you,sátse omóc,translate_eng_sp_reverse,translate_eng_sp+reverse,True
i   l o v e   y o u,o r e i u q   e t,i love you,oreiuq et,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f r i e n d,o g i m a,friend,ogima,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f a m i l y,a i l i m a f,family,ailimaf,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f o o d,a d i m o c,food,adimoc,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b o o k,o r b i l,book,orbil,translate_eng_sp_reverse,translate_eng_sp+reverse,True
c a r,e h c o c,car,ehcoc,translate_eng_sp_reverse,translate_eng_sp+reverse,True
t r e e,l o b r á,tree,lobrá,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f l o w e r,r o l f,flower,rolf,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s u n,l o s,sun,los,translate_eng_sp_reverse,translate_eng_sp+reverse,True
m o o n,a n u l,moon,anul,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s t a r,a l l e r t s e,star,allertse,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b r e a d,n a p,bread,nap,translate_eng_sp_reverse,translate_eng_sp+reverse,True
c h e e s e,o s e u q,cheese,oseuq,translate_eng_sp_reverse,translate_eng_sp+reverse,True
w i n e,o n i v,wine,oniv,translate_eng_sp_reverse,translate_eng_sp+reverse,True
t e a,é t,tea,ét,translate_eng_sp_reverse,translate_eng_sp+reverse,True
m i l k,e h c e l,milk,ehcel,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s u g a r,r a c ú z a,sugar,racúza,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s a l t,l a s,salt,las,translate_eng_sp_reverse,translate_eng_sp+reverse,True
p e p p e r,a t n e i m i p,pepper,atneimip,translate_eng_sp_reverse,translate_eng_sp+reverse,True
t a b l e,a s e m,table,asem,translate_eng_sp_reverse,translate_eng_sp+reverse,True
c h a i r,a l l i s,chair,allis,translate_eng_sp_reverse,translate_eng_sp+reverse,True
d o o r,a t r e u p,door,atreup,translate_eng_sp_reverse,translate_eng_sp+reverse,True
w i n d o w,a n a t n e v,window,anatnev,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s t r e e t,e l l a c,street,ellac,translate_eng_sp_reverse,translate_eng_sp+reverse,True
c i t y,d a d u i c,city,daduic,translate_eng_sp_reverse,translate_eng_sp+reverse,True
c o u n t r y,s í a p,country,síap,translate_eng_sp_reverse,translate_eng_sp+reverse,True
w o r l d,o d n u m,world,odnum,translate_eng_sp_reverse,translate_eng_sp+reverse,True
t i m e,o p m e i t,time,opmeit,translate_eng_sp_reverse,translate_eng_sp+reverse,True
d a y,a í d,day,aíd,translate_eng_sp_reverse,translate_eng_sp+reverse,True
n i g h t,e h c o n,night,ehcon,translate_eng_sp_reverse,translate_eng_sp+reverse,True
w e e k,a n a m e s,week,anames,translate_eng_sp_reverse,translate_eng_sp+reverse,True
m o n t h,s e m,month,sem,translate_eng_sp_reverse,translate_eng_sp+reverse,True
y e a r,o ñ a,year,oña,translate_eng_sp_reverse,translate_eng_sp+reverse,True
t o d a y,y o h,today,yoh,translate_eng_sp_reverse,translate_eng_sp+reverse,True
t o m o r r o w,a n a ñ a m,tomorrow,anañam,translate_eng_sp_reverse,translate_eng_sp+reverse,True
y e s t e r d a y,r e y a,yesterday,reya,translate_eng_sp_reverse,translate_eng_sp+reverse,True
c h i l d,o ñ i n,child,oñin,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s c h o o l,a l e u c s e,school,aleucse,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s t u d e n t,e t n a i d u t s e,student,etnaidutse,translate_eng_sp_reverse,translate_eng_sp+reverse,True
t e a c h e r,r o s e f o r p,teacher,roseforp,translate_eng_sp_reverse,translate_eng_sp+reverse,True
a p p l e,a n a z n a m,apple,anaznam,translate_eng_sp_reverse,translate_eng_sp+reverse,True
o r a n g e,a j n a r a n,orange,ajnaran,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f i s h,z e p,fish,zep,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b i r d,o r a j á p,bird,orajáp,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h o r s e,o l l a b a c,horse,ollabac,translate_eng_sp_reverse,translate_eng_sp+reverse,True
l e t t e r,a t r a c,letter,atrac,translate_eng_sp_reverse,translate_eng_sp+reverse,True
w o r d,a r b a l a p,word,arbalap,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s e n t e n c e,e s a r f,sentence,esarf,translate_eng_sp_reverse,translate_eng_sp+reverse,True
p a g e,a n i g á p,page,anigáp,translate_eng_sp_reverse,translate_eng_sp+reverse,True
m u s i c,a c i s ú m,music,acisúm,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s o n g,n ó i c n a c,song,nóicnac,translate_eng_sp_reverse,translate_eng_sp+reverse,True
d a n c e,e l i a b,dance,eliab,translate_eng_sp_reverse,translate_eng_sp+reverse,True
g a m e,o g e u j,game,ogeuj,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s p o r t,e t r o p e d,sport,etroped,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b a l l,a t o l e p,ball,atolep,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h a n d,o n a m,hand,onam,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f o o t,e i p,foot,eip,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h e a d,a z e b a c,head,azebac,translate_eng_sp_reverse,translate_eng_sp+reverse,True
e y e,o j o,eye,ojo,translate_eng_sp_reverse,translate_eng_sp+reverse,True
e a r,a j e r o,ear,ajero,translate_eng_sp_reverse,translate_eng_sp+reverse,True
n o s e,z i r a n,nose,ziran,translate_eng_sp_reverse,translate_eng_sp+reverse,True
m o u t h,a c o b,mouth,acob,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h e a r t,n ó z a r o c,heart,nózaroc,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b r a i n,o r b e r e c,brain,orberec,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b o d y,o p r e u c,body,opreuc,translate_eng_sp_reverse,translate_eng_sp+reverse,True
r e d,o j o r,red,ojor,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b l u e,l u z a,blue,luza,translate_eng_sp_reverse,translate_eng_sp+reverse,True
g r e e n,e d r e v,green,edrev,translate_eng_sp_reverse,translate_eng_sp+reverse,True
y e l l o w,o l l i r a m a,yellow,ollirama,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b l a c k,o r g e n,black,orgen,translate_eng_sp_reverse,translate_eng_sp+reverse,True
w h i t e,o c n a l b,white,ocnalb,translate_eng_sp_reverse,translate_eng_sp+reverse,True
p u r p l e,o d a r o m,purple,odarom,translate_eng_sp_reverse,translate_eng_sp+reverse,True
p i n k,a s o r,pink,asor,translate_eng_sp_reverse,translate_eng_sp+reverse,True
g r a y,s i r g,gray,sirg,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b r o w n,n ó r r a m,brown,nórram,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b i g,e d n a r g,big,ednarg,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s m a l l,o ñ e u q e p,small,oñeuqep,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h o t,e t n e i l a c,hot,etneilac,translate_eng_sp_reverse,translate_eng_sp+reverse,True
c o l d,o í r f,cold,oírf,translate_eng_sp_reverse,translate_eng_sp+reverse,True
n e w,o v e u n,new,oveun,translate_eng_sp_reverse,translate_eng_sp+reverse,True
o l d,o j e i v,old,ojeiv,translate_eng_sp_reverse,translate_eng_sp+reverse,True
g o o d,o n e u b,good,oneub,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b a d,o l a m,bad,olam,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h a p p y,z i l e f,happy,zilef,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s a d,e t s i r t,sad,etsirt,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f a s t,o d i p á r,fast,odipár,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s l o w,o t n e l,slow,otnel,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s t r o n g,e t r e u f,strong,etreuf,translate_eng_sp_reverse,translate_eng_sp+reverse,True
w e a k,l i b é d,weak,libéd,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b e a u t i f u l,o s o m r e h,beautiful,osomreh,translate_eng_sp_reverse,translate_eng_sp+reverse,True
u g l y,o e f,ugly,oef,translate_eng_sp_reverse,translate_eng_sp+reverse,True
y o u n g,n e v o j,young,nevoj,translate_eng_sp_reverse,translate_eng_sp+reverse,True
r i c h,o c i r,rich,ocir,translate_eng_sp_reverse,translate_eng_sp+reverse,True
p o o r,e r b o p,poor,erbop,translate_eng_sp_reverse,translate_eng_sp+reverse,True
c l e a n,o i p m i l,clean,oipmil,translate_eng_sp_reverse,translate_eng_sp+reverse,True
d i r t y,o i c u s,dirty,oicus,translate_eng_sp_reverse,translate_eng_sp+reverse,True
e a s y,l i c á f,easy,licáf,translate_eng_sp_reverse,translate_eng_sp+reverse,True
d i f f i c u l t,l i c í f i d,difficult,licífid,translate_eng_sp_reverse,translate_eng_sp+reverse,True
l o n g,o g r a l,long,ogral,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s h o r t,o t r o c,short,otroc,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h i g h,o t l a,high,otla,translate_eng_sp_reverse,translate_eng_sp+reverse,True
l o w,o j a b,low,ojab,translate_eng_sp_reverse,translate_eng_sp+reverse,True
w i d e,o h c n a,wide,ohcna,translate_eng_sp_reverse,translate_eng_sp+reverse,True
n a r r o w,o h c e r t s e,narrow,ohcertse,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h e a v y,o d a s e p,heavy,odasep,translate_eng_sp_reverse,translate_eng_sp+reverse,True
l i g h t,o r e g i l,light,oregil,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f u l l,o n e l l,full,onell,translate_eng_sp_reverse,translate_eng_sp+reverse,True
e m p t y,o í c a v,empty,oícav,translate_eng_sp_reverse,translate_eng_sp+reverse,True
r i g h t,o h c e r e d,right,ohcered,translate_eng_sp_reverse,translate_eng_sp+reverse,True
l e f t,o d r e i u q z i,left,odreiuqzi,translate_eng_sp_reverse,translate_eng_sp+reverse,True
u p,a b i r r a,up,abirra,translate_eng_sp_reverse,translate_eng_sp+reverse,True
d o w n,o j a b a,down,ojaba,translate_eng_sp_reverse,translate_eng_sp+reverse,True
i n s i d e,o r t n e d,inside,ortned,translate_eng_sp_reverse,translate_eng_sp+reverse,True
o u t s i d e,a r e u f,outside,areuf,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f r o n t,e t n e r f,front,etnerf,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b a c k,s á r t a,back,sárta,translate_eng_sp_reverse,translate_eng_sp+reverse,True
n e a r,a c r e c,near,acrec,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f a r,s o j e l,far,sojel,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f i r s t,o r e m i r p,first,oremirp,translate_eng_sp_reverse,translate_eng_sp+reverse,True
l a s t,o m i t l ú,last,omitlú,translate_eng_sp_reverse,translate_eng_sp+reverse,True
o p e n,o t r e i b a,open,otreiba,translate_eng_sp_reverse,translate_eng_sp+reverse,True
c l o s e d,o d a r r e c,closed,odarrec,translate_eng_sp_reverse,translate_eng_sp+reverse,True
o n e,o n u,one,onu,translate_eng_sp_reverse,translate_eng_sp+reverse,True
t w o,s o d,two,sod,translate_eng_sp_reverse,translate_eng_sp+reverse,True
t h r e e,s e r t,three,sert,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f o u r,o r t a u c,four,ortauc,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f i v e,o c n i c,five,ocnic,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s i x,s i e s,six,sies,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s e v e n,e t e i s,seven,eteis,translate_eng_sp_reverse,translate_eng_sp+reverse,True
e i g h t,o h c o,eight,ohco,translate_eng_sp_reverse,translate_eng_sp+reverse,True
n i n e,e v e u n,nine,eveun,translate_eng_sp_reverse,translate_eng_sp+reverse,True
t e n,z e i d,ten,zeid,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h u n d r e d,n e i c,hundred,neic,translate_eng_sp_reverse,translate_eng_sp+reverse,True
t h o u s a n d,l i m,thousand,lim,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b r o t h e r,o n a m r e h,brother,onamreh,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s i s t e r,a n a m r e h,sister,anamreh,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f a t h e r,e r d a p,father,erdap,translate_eng_sp_reverse,translate_eng_sp+reverse,True
m o t h e r,e r d a m,mother,erdam,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s o n,o j i h,son,ojih,translate_eng_sp_reverse,translate_eng_sp+reverse,True
d a u g h t e r,a j i h,daughter,ajih,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h u s b a n d,o s o p s e,husband,osopse,translate_eng_sp_reverse,translate_eng_sp+reverse,True
w i f e,a s o p s e,wife,asopse,translate_eng_sp_reverse,translate_eng_sp+reverse,True
g r a n d f a t h e r,o l e u b a,grandfather,oleuba,translate_eng_sp_reverse,translate_eng_sp+reverse,True
g r a n d m o t h e r,a l e u b a,grandmother,aleuba,translate_eng_sp_reverse,translate_eng_sp+reverse,True
u n c l e,o í t,uncle,oít,translate_eng_sp_reverse,translate_eng_sp+reverse,True
a u n t,a í t,aunt,aít,translate_eng_sp_reverse,translate_eng_sp+reverse,True
c o u s i n,o m i r p,cousin,omirp,translate_eng_sp_reverse,translate_eng_sp+reverse,True
k i n g,y e r,king,yer,translate_eng_sp_reverse,translate_eng_sp+reverse,True
q u e e n,a n i e r,queen,anier,translate_eng_sp_reverse,translate_eng_sp+reverse,True
p r i n c e,e p i c n í r p,prince,epicnírp,translate_eng_sp_reverse,translate_eng_sp+reverse,True
p r i n c e s s,a s e c n i r p,princess,asecnirp,translate_eng_sp_reverse,translate_eng_sp+reverse,True
m a n,e r b m o h,man,erbmoh,translate_eng_sp_reverse,translate_eng_sp+reverse,True
w o m a n,r e j u m,woman,rejum,translate_eng_sp_reverse,translate_eng_sp+reverse,True
g i r l,a ñ i n,girl,añin,translate_eng_sp_reverse,translate_eng_sp+reverse,True
b a b y,é b e b,baby,ébeb,translate_eng_sp_reverse,translate_eng_sp+reverse,True
d o c t o r,o c i d é m,doctor,ocidém,translate_eng_sp_reverse,translate_eng_sp+reverse,True
n u r s e,a r e m r e f n e,nurse,aremrefne,translate_eng_sp_reverse,translate_eng_sp+reverse,True
l a w y e r,o d a g o b a,lawyer,odagoba,translate_eng_sp_reverse,translate_eng_sp+reverse,True
p o l i c e,a í c i l o p,police,aícilop,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s o l d i e r,o d a d l o s,soldier,odadlos,translate_eng_sp_reverse,translate_eng_sp+reverse,True
f a r m e r,o r e j n a r g,farmer,orejnarg,translate_eng_sp_reverse,translate_eng_sp+reverse,True
w o r k e r,r o d a j a b a r t,worker,rodajabart,translate_eng_sp_reverse,translate_eng_sp+reverse,True
a r t i s t,a t s i t r a,artist,atsitra,translate_eng_sp_reverse,translate_eng_sp+reverse,True
m u s i c i a n,o c i s ú m,musician,ocisúm,translate_eng_sp_reverse,translate_eng_sp+reverse,True
s i n g e r,e t n a t n a c,singer,etnatnac,translate_eng_sp_reverse,translate_eng_sp+reverse,True
h e l l o,h,hello,h,translate_eng_sp_first,translate_eng_sp+first_letter,True
g o o d b y e,a,goodbye,a,translate_eng_sp_first,translate_eng_sp+first_letter,True
t h a n k   y o u,g,thank you,g,translate_eng_sp_first,translate_eng_sp+first_letter,True
p l e a s e,p,please,p,translate_eng_sp_first,translate_eng_sp+first_letter,True
y e s,s,yes,s,translate_eng_sp_first,translate_eng_sp+first_letter,True
w a t e r,a,water,a,translate_eng_sp_first,translate_eng_sp+first_letter,True
h o u s e,c,house,c,translate_eng_sp_first,translate_eng_sp+first_letter,True
c a t,g,cat,g,translate_eng_sp_first,translate_eng_sp+first_letter,True
d o g,p,dog,p,translate_eng_sp_first,translate_eng_sp+first_letter,True
g o o d   m o r n i n g,b,good morning,b,translate_eng_sp_first,translate_eng_sp+first_letter,True
g o o d   e v e n i n g,b,good evening,b,translate_eng_sp_first,translate_eng_sp+first_letter,True
g o o d   n i g h t,b,good night,b,translate_eng_sp_first,translate_eng_sp+first_letter,True
h o w   a r e   y o u,c,how are you,c,translate_eng_sp_first,translate_eng_sp+first_letter,True
i   l o v e   y o u,t,i love you,t,translate_eng_sp_first,translate_eng_sp+first_letter,True
f r i e n d,a,friend,a,translate_eng_sp_first,translate_eng_sp+first_letter,True
f a m i l y,f,family,f,translate_eng_sp_first,translate_eng_sp+first_letter,True
f o o d,c,food,c,translate_eng_sp_first,translate_eng_sp+first_letter,True
b o o k,l,book,l,translate_eng_sp_first,translate_eng_sp+first_letter,True
c a r,c,car,c,translate_eng_sp_first,translate_eng_sp+first_letter,True
t r e e,á,tree,á,translate_eng_sp_first,translate_eng_sp+first_letter,True
f l o w e r,f,flower,f,translate_eng_sp_first,translate_eng_sp+first_letter,True
s u n,s,sun,s,translate_eng_sp_first,translate_eng_sp+first_letter,True
m o o n,l,moon,l,translate_eng_sp_first,translate_eng_sp+first_letter,True
s t a r,e,star,e,translate_eng_sp_first,translate_eng_sp+first_letter,True
b r e a d,p,bread,p,translate_eng_sp_first,translate_eng_sp+first_letter,True
c h e e s e,q,cheese,q,translate_eng_sp_first,translate_eng_sp+first_letter,True
w i n e,v,wine,v,translate_eng_sp_first,translate_eng_sp+first_letter,True
t e a,t,tea,t,translate_eng_sp_first,translate_eng_sp+first_letter,True
m i l k,l,milk,l,translate_eng_sp_first,translate_eng_sp+first_letter,True
s u g a r,a,sugar,a,translate_eng_sp_first,translate_eng_sp+first_letter,True
s a l t,s,salt,s,translate_eng_sp_first,translate_eng_sp+first_letter,True
p e p p e r,p,pepper,p,translate_eng_sp_first,translate_eng_sp+first_letter,True
t a b l e,m,table,m,translate_eng_sp_first,translate_eng_sp+first_letter,True
c h a i r,s,chair,s,translate_eng_sp_first,translate_eng_sp+first_letter,True
d o o r,p,door,p,translate_eng_sp_first,translate_eng_sp+first_letter,True
w i n d o w,v,window,v,translate_eng_sp_first,translate_eng_sp+first_letter,True
s t r e e t,c,street,c,translate_eng_sp_first,translate_eng_sp+first_letter,True
c i t y,c,city,c,translate_eng_sp_first,translate_eng_sp+first_letter,True
c o u n t r y,p,country,p,translate_eng_sp_first,translate_eng_sp+first_letter,True
w o r l d,m,world,m,translate_eng_sp_first,translate_eng_sp+first_letter,True
t i m e,t,time,t,translate_eng_sp_first,translate_eng_sp+first_letter,True
d a y,d,day,d,translate_eng_sp_first,translate_eng_sp+first_letter,True
n i g h t,n,night,n,translate_eng_sp_first,translate_eng_sp+first_letter,True
w e e k,s,week,s,translate_eng_sp_first,translate_eng_sp+first_letter,True
m o n t h,m,month,m,translate_eng_sp_first,translate_eng_sp+first_letter,True
y e a r,a,year,a,translate_eng_sp_first,translate_eng_sp+first_letter,True
t o d a y,h,today,h,translate_eng_sp_first,translate_eng_sp+first_letter,True
t o m o r r o w,m,tomorrow,m,translate_eng_sp_first,translate_eng_sp+first_letter,True
y e s t e r d a y,a,yesterday,a,translate_eng_sp_first,translate_eng_sp+first_letter,True
c h i l d,n,child,n,translate_eng_sp_first,translate_eng_sp+first_letter,True
s c h o o l,e,school,e,translate_eng_sp_first,translate_eng_sp+first_letter,True
s t u d e n t,e,student,e,translate_eng_sp_first,translate_eng_sp+first_letter,True
t e a c h e r,p,teacher,p,translate_eng_sp_first,translate_eng_sp+first_letter,True
a p p l e,m,apple,m,translate_eng_sp_first,translate_eng_sp+first_letter,True
o r a n g e,n,orange,n,translate_eng_sp_first,translate_eng_sp+first_letter,True
f i s h,p,fish,p,translate_eng_sp_first,translate_eng_sp+first_letter,True
b i r d,p,bird,p,translate_eng_sp_first,translate_eng_sp+first_letter,True
h o r s e,c,horse,c,translate_eng_sp_first,translate_eng_sp+first_letter,True
l e t t e r,c,letter,c,translate_eng_sp_first,translate_eng_sp+first_letter,True
w o r d,p,word,p,translate_eng_sp_first,translate_eng_sp+first_letter,True
s e n t e n c e,f,sentence,f,translate_eng_sp_first,translate_eng_sp+first_letter,True
p a g e,p,page,p,translate_eng_sp_first,translate_eng_sp+first_letter,True
m u s i c,m,music,m,translate_eng_sp_first,translate_eng_sp+first_letter,True
s o n g,c,song,c,translate_eng_sp_first,translate_eng_sp+first_letter,True
d a n c e,b,dance,b,translate_eng_sp_first,translate_eng_sp+first_letter,True
g a m e,j,game,j,translate_eng_sp_first,translate_eng_sp+first_letter,True
